time,id,x,y,0,1,2,3,4,5,6,7,8
2,5,385680.0,6672011.0,0.87,-7.58,-3.22,-22.32,6.19,1.45,-23.35,-22.82,-15.62
2,50,385352.0,6672023.0,-3.09,-14.42,-2.31,-10.59,-1.38,-10.81,-14.22,-2.15,6.85
2,51,385572.0,6671697.0,-29.32,-12.34,-1.8,-9.99,6.53,0.69,-14.32,-6.2,-1.13
2,52,385275.0,6671344.0,-52.84,-12.11,-21.43,-8.57,-10.94,-4.66,7.9,-6.74,2.98
2,54,386218.0,6671808.0,-41.65,-13.09,-25.35,-35.82,-23.06,26.34,-43.19,-36.45,-39.19
2,55,385625.0,6672130.0,20.37,-24.2,-16.34,-34.58,-8.41,-13.12,-35.27,-30.29,-27.21
2,56,385586.0,6671548.0,-45.36,-5.0,-13.75,-13.36,-3.25,8.18,-21.05,0.87,-4.4
2,57,386088.0,6671470.0,-39.08,-3.37,1.09,-11.7,6.86,-0.59,-9.91,-7.54,-21.32
2,59,385347.0,6671902.0,-3.61,-20.57,-12.87,-12.62,-11.63,-16.07,-22.6,1.58,9.18
2,6,385597.0,6672122.0,25.17,-28.75,-21.74,-39.94,-13.85,-16.14,-40.62,-34.29,-30.35
2,60,386116.0,6671643.0,-51.75,5.53,-27.89,-37.65,-29.07,8.46,-38.02,-35.57,-49.0
2,61,385854.0,6671259.0,-52.94,-26.26,18.03,-5.06,-15.33,-27.65,-17.29,-17.09,-28.99
2,62,385728.0,6671161.0,-61.3,-28.42,-4.89,-5.99,-21.48,-32.62,-13.79,15.68,-25.13
2,63,386118.0,6671619.0,-51.44,6.1,-25.8,-35.76,-26.9,7.88,-36.06,-33.65,-47.08
2,64,385905.0,6671731.0,-26.45,-17.97,-7.21,-25.39,16.7,-5.47,-21.57,-25.97,-28.66
2,65,385821.0,6671316.0,-41.75,-27.03,8.34,4.59,-7.56,-25.55,-14.11,-11.4,-25.95
2,67,386012.0,6671579.0,-49.37,-27.92,19.26,-13.35,-21.2,-6.34,-31.64,-29.34,-42.92
2,68,385555.0,6672183.0,8.9,-9.58,-7.8,-25.91,1.33,-1.72,-26.42,-28.08,-23.41
2,69,385399.0,6671426.0,-55.29,-10.34,-28.68,-17.33,-8.3,-0.43,-12.14,-2.82,10.4
2,7,386080.0,6671796.0,-44.77,-7.81,-26.72,-42.42,-24.0,21.63,-44.68,-37.42,-40.43
2,71,385702.0,6671210.0,-74.85,-46.12,-18.34,10.5,-28.54,-40.12,-22.71,3.41,-33.04
2,73,386221.0,6671870.0,-43.47,-16.18,-23.47,-37.62,-21.73,28.36,-41.82,-35.13,-37.84
2,74,385909.0,6671472.0,-48.68,-37.89,-7.82,-32.45,21.58,-30.19,-27.17,-23.08,-38.9
2,75,385874.0,6671527.0,-49.56,-37.59,-10.22,-33.49,24.08,-26.92,-40.33,-37.61,-50.62
2,76,385512.0,6671786.0,-23.72,-10.34,0.52,-8.03,0.78,-5.79,-13.21,-4.16,5.88
2,77,385563.0,6671717.0,-26.42,-13.53,0.86,-7.55,9.65,-6.62,-12.03,-10.04,-7.64
2,78,385823.0,6671319.0,-41.87,-30.19,6.64,6.3,-8.03,-28.72,-12.99,-10.37,-24.87
2,79,385783.0,6671838.0,-14.8,-12.08,-5.4,-23.59,4.52,7.73,-25.31,-14.65,-11.3
2,8,385741.0,6671649.0,-35.32,-7.06,-8.0,-27.36,2.54,9.47,-29.61,-10.44,-13.13
2,80,386238.0,6671392.0,-43.28,-1.57,-1.96,-2.29,-18.69,9.26,-16.03,-14.78,-27.31
2,81,385907.0,6671660.0,-30.24,-25.72,-8.72,-27.31,21.01,-14.13,-19.0,-24.99,-31.86
2,82,385891.0,6671611.0,-38.08,-28.64,-10.22,-29.89,22.59,-17.46,-17.97,-24.64,-29.0
